UNHOLTZ-DICKIE Corporation Random Controller data in ASCII format
Setup Name:OCU X AXIS ATP 4CH     Run Name:OCUXATPFORCELIMIT4CH4     Save Number:1
Saved Date:10/11/2016    Saved Time:10:0:33 AM
Total time:0:2:1    Auto time:0:0:0
Test Mode:none    Test Status:STOPPED
Test Level:-20.0dB
DOF:200
Sigma Drive Limit: NONE
Frequency Resolution:5.000 Hz
Reference Frequency Range: 20.000 Hz - 2000.000 Hz
Chan,Sensitivity ,Coupling, Max. Range,Description
  # ,    mV/g    , (AC/DC),   grms    
  1 ,   10.01   ,   AC   ,  100.00   ,CONTROL
  2 ,   10.07   ,   AC   ,  100.00   ,CONTROL
  3 ,   10.45   ,   AC   ,  100.00   ,SPECIMENT PROTECT
  4 ,   10.00   ,   AC   ,  200.00   ,INLINE SUMMED FORCE CHANNEL

  Pt,Frequency,  Reference  ,   Control   ,    Drive    ,     HInv    ,    Chan:1   ,    Chan:2   ,    Chan:3   ,    Chan:4   
    ,  (Hz)   ,    (g²/Hz)  ,    (g²/Hz)  ,    (V²/Hz)  ,     (V/g)   ,    (g²/Hz)  ,    (g²/Hz)  ,    (g²/Hz)  ,    (g²/Hz)  

  93, 460.0000,   0.00040000,   0.00005352,   0.00000018,   0.05999704,   0.00005637,   0.00005068,   0.00005988,   0.00859474
  94, 465.0000,   0.00040000,   0.00004222,   0.00000016,   0.06407615,   0.00004453,   0.00003991,   0.00004731,   0.00740533
  95, 470.0000,   0.00040000,   0.00003830,   0.00000014,   0.06084685,   0.00004050,   0.00003610,   0.00004306,   0.00746387
  96, 475.0000,   0.00040000,   0.00004152,   0.00000011,   0.05829740,   0.00004410,   0.00003894,   0.00004696,   0.00899518
  97, 480.0000,   0.00040000,   0.00002927,   0.00000012,   0.06237653,   0.00003108,   0.00002747,   0.00003313,   0.00700999
  98, 485.0000,   0.00040000,   0.00002577,   0.00000009,   0.06271645,   0.00002731,   0.00002422,   0.00002920,   0.00705374
  99, 490.0000,   0.00040000,   0.00002077,   0.00000010,   0.06832524,   0.00002210,   0.00001944,   0.00002363,   0.00644630
 100, 495.0000,   0.00040000,   0.00002080,   0.00000011,   0.06934501,   0.00002223,   0.00001937,   0.00002378,   0.00745672
 101, 500.0000,   0.00040000,   0.00001845,   0.00000008,   0.06985491,   0.00001978,   0.00001711,   0.00002120,   0.00758131
 102, 505.0000,   0.00040000,   0.00001499,   0.00000009,   0.06951499,   0.00001614,   0.00001384,   0.00001733,   0.00724081
 103, 510.0000,   0.00040000,   0.00001265,   0.00000005,   0.07223439,   0.00001369,   0.00001161,   0.00001474,   0.00734271
 104, 515.0000,   0.00040000,   0.00001089,   0.00000005,   0.06815527,   0.00001186,   0.00000991,   0.00001283,   0.00775860
 105, 520.0000,   0.00040000,   0.00000961,   0.00000004,   0.06798531,   0.00001054,   0.00000868,   0.00001146,   0.00841352
 106, 525.0000,   0.00040000,   0.00000567,   0.00000003,   0.06883513,   0.00000627,   0.00000507,   0.00000685,   0.00629185
 107, 530.0000,   0.00040000,   0.00000378,   0.00000004,   0.08226223,   0.00000422,   0.00000334,   0.00000466,   0.00581221
 108, 535.0000,   0.00040000,   0.00000279,   0.00000002,   0.08532158,   0.00000315,   0.00000243,   0.00000351,   0.00588005
 109, 540.0000,   0.00040000,   0.00000189,   0.00000002,   0.09178018,   0.00000218,   0.00000161,   0.00000245,   0.00591829
 110, 545.0000,   0.00040000,   0.00000126,   0.00000001,   0.10129811,   0.00000149,   0.00000103,   0.00000170,   0.00642169
 111, 550.0000,   0.00040000,   0.00000071,   0.00000001,   0.12135379,   0.00000086,   0.00000056,   0.00000099,   0.00623326
 112, 555.0000,   0.00040000,   0.00000040,   0.00000001,   0.13835011,   0.00000047,   0.00000033,   0.00000054,   0.00639041
 113, 560.0000,   0.00040000,   0.00000040,   0.00000001,   0.11795451,   0.00000041,   0.00000040,   0.00000043,   0.00649048
 114, 565.0000,   0.00040000,   0.00000069,   0.00000000,   0.07223439,   0.00000064,   0.00000075,   0.00000062,   0.00654212
 115, 570.0000,   0.00040000,   0.00000143,   0.00000000,   0.04538020,   0.00000128,   0.00000158,   0.00000122,   0.00745573
 116, 575.0000,   0.00040000,   0.00000287,   0.00000000,   0.02821390,   0.00000260,   0.00000313,   0.00000252,   0.00823509
 117, 580.0000,   0.00040000,   0.00000486,   0.00000000,   0.02625933,   0.00000452,   0.00000519,   0.00000444,   0.00868471
 118, 585.0000,   0.00040000,   0.00000685,   0.00000001,   0.02897874,   0.00000652,   0.00000719,   0.00000647,   0.00817717
 119, 590.0000,   0.00040000,   0.00000795,   0.00000001,   0.03016848,   0.00000760,   0.00000829,   0.00000756,   0.00861622
 120, 595.0000,   0.00040000,   0.00000782,   0.00000001,   0.02838387,   0.00000740,   0.00000824,   0.00000732,   0.00849956
 121, 600.0000,   0.00040000,   0.00000849,   0.00000000,   0.02770401,   0.00000811,   0.00000886,   0.00000805,   0.00715417
 122, 605.0000,   0.00040000,   0.00001036,   0.00000001,   0.03067838,   0.00001000,   0.00001073,   0.00000999,   0.00650197
 123, 610.0000,   0.00040000,   0.00001547,   0.00000001,   0.03084833,   0.00001502,   0.00001592,   0.00001507,   0.00750162
 124, 615.0000,   0.00040000,   0.00001891,   0.00000002,   0.03050841,   0.00001844,   0.00001938,   0.00001854,   0.00750067
 125, 620.0000,   0.00040000,   0.00002064,   0.00000002,   0.03050841,   0.00002024,   0.00002104,   0.00002040,   0.00671444
 126, 625.0000,   0.00040000,   0.00002400,   0.00000002,   0.03110328,   0.00002366,   0.00002434,   0.00002394,   0.00643661
 127, 630.0000,   0.00040000,   0.00003257,   0.00000003,   0.03254797,   0.00003225,   0.00003289,   0.00003273,   0.00740273
 128, 635.0000,   0.00040000,   0.00003445,   0.00000004,   0.03518240,   0.00003425,   0.00003464,   0.00003480,   0.00681767
 129, 640.0000,   0.00040000,   0.00003474,   0.00000005,   0.03620218,   0.00003469,   0.00003478,   0.00003532,   0.00588020
 130, 645.0000,   0.00040000,   0.00004336,   0.00000006,   0.03756189,   0.00004351,   0.00004322,   0.00004437,   0.00640989
 131, 650.0000,   0.00040000,   0.00005331,   0.00000007,   0.03841171,   0.00005369,   0.00005294,   0.00005485,   0.00698966
 132, 655.0000,   0.00040000,   0.00005537,   0.00000009,   0.03951646,   0.00005591,   0.00005484,   0.00005726,   0.00643762
 133, 660.0000,   0.00040000,   0.00006281,   0.00000009,   0.03739192,   0.00006374,   0.00006188,   0.00006540,   0.00659625
 134, 665.0000,   0.00040000,   0.00006199,   0.00000010,   0.04002636,   0.00006344,   0.00006054,   0.00006523,   0.00584897
 135, 670.0000,   0.00040000,   0.00007130,   0.00000010,   0.03773185,   0.00007378,   0.00006881,   0.00007613,   0.00611832
 136, 675.0000,   0.00040000,   0.00008607,   0.00000011,   0.03934650,   0.00009001,   0.00008214,   0.00009317,   0.00673105
 137, 680.0000,   0.00040000,   0.00009415,   0.00000015,   0.04130108,   0.00009904,   0.00008927,   0.00010271,   0.00674896
 138, 685.0000,   0.00040000,   0.00010356,   0.00000019,   0.03960145,   0.00010908,   0.00009804,   0.00011315,   0.00672108
