Thermal Cycle Test,Logger Rev-1.0
Operator,11333
11333
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161013_1240
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
1:28:20.411 PM 10/13/2016,0.794444,0.105960,-4.588711,-45.498522,-46.455582,24.578608
1:28:40.412 PM 10/13/2016,0.800000,-0.414551,-5.168017,-46.374714,-46.887850,24.624148
1:29:00.412 PM 10/13/2016,0.805556,-1.097261,-5.946498,-50.382229,-49.648606,24.692682
1:29:20.413 PM 10/13/2016,0.811111,-1.662499,-6.553011,-48.976431,-49.068401,24.817086
1:29:40.413 PM 10/13/2016,0.816667,-2.267010,-7.234451,-47.849955,-48.402889,24.521466
1:30:00.413 PM 10/13/2016,0.822223,-2.848621,-7.738597,-47.601056,-48.120901,24.296262
1:30:20.413 PM 10/13/2016,0.827778,-3.471281,-8.305716,-47.509830,-48.102239,24.417010
1:30:40.413 PM 10/13/2016,0.833334,-4.044794,-8.918631,-49.707719,-49.319584,24.695405
1:31:00.414 PM 10/13/2016,0.838889,-4.674880,-9.575746,-50.483380,-50.151321,24.691814
1:31:20.414 PM 10/13/2016,0.844445,-5.215967,-10.122022,-49.088365,-49.340403,24.863941
1:31:40.414 PM 10/13/2016,0.850001,-5.807422,-10.706909,-49.087553,-49.255617,24.988539
1:32:00.412 PM 10/13/2016,0.855556,-6.378648,-11.197817,-49.100569,-49.204918,24.895883
1:32:20.413 PM 10/13/2016,0.861111,-6.948170,-11.790555,-49.432482,-49.325560,24.682205
1:32:40.414 PM 10/13/2016,0.866667,-7.515288,-12.427310,-51.264028,-50.705552,24.452911
1:33:00.412 PM 10/13/2016,0.872222,-7.982163,-12.875122,-50.119935,-49.979432,24.686743
1:33:20.414 PM 10/13/2016,0.877778,-8.483854,-13.458059,-50.141958,-49.988409,24.798334
1:33:40.414 PM 10/13/2016,0.883334,-8.993180,-13.883512,-50.336649,-50.141457,24.778828
1:34:00.412 PM 10/13/2016,0.888889,-9.589779,-14.419413,-50.346404,-50.255060,24.809888
1:34:20.413 PM 10/13/2016,0.894445,-10.084596,-15.020638,-51.257790,-50.735611,24.770584
1:34:40.413 PM 10/13/2016,0.900000,-10.666500,-15.496512,-51.480148,-50.939289,24.911380
1:35:00.412 PM 10/13/2016,0.905556,-11.109384,-15.960730,-51.046026,-50.844294,24.850429
1:35:20.412 PM 10/13/2016,0.911111,-11.621458,-16.422105,-51.283077,-50.925128,24.949741
1:35:40.415 PM 10/13/2016,0.916667,-12.120250,-16.976724,-51.550074,-51.131552,24.867342
1:36:00.413 PM 10/13/2016,0.922222,-12.649499,-17.402038,-51.659984,-51.281912,24.672378
1:36:20.413 PM 10/13/2016,0.927778,-13.186085,-17.902372,-51.841579,-51.506652,24.784608
1:36:40.413 PM 10/13/2016,0.933334,-13.636905,-18.358902,-52.141428,-51.642173,24.688913
1:37:00.413 PM 10/13/2016,0.938889,-14.156065,-18.830141,-52.220965,-51.791500,24.764996
1:37:20.413 PM 10/13/2016,0.944445,-14.598571,-19.296544,-52.467685,-52.036778,24.769435
1:37:40.412 PM 10/13/2016,0.950000,-15.078600,-19.743792,-52.652226,-52.196143,24.904904
1:38:00.413 PM 10/13/2016,0.955556,-15.552654,-20.248220,-52.819151,-52.348605,24.967282
1:38:20.414 PM 10/13/2016,0.961112,-16.050425,-20.690494,-53.062037,-52.551852,24.916223
1:38:40.414 PM 10/13/2016,0.966667,-16.521428,-21.109158,-53.187804,-52.764425,25.037695
