Burn-In Test,Logger Rev-1.0
Operator,ddenoff
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161012_0056
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
2:00:00.439 AM 10/12/2016,1.055563,-32.404230,-35.021726,-51.380911,-50.088846,23.074881
2:00:20.440 AM 10/12/2016,1.061118,-32.609604,-35.142895,-49.908180,-49.213015,23.115274
2:00:40.442 AM 10/12/2016,1.066675,-32.860046,-35.402524,-51.238613,-50.151640,23.094669
2:01:00.433 AM 10/12/2016,1.072228,-33.053859,-35.570829,-50.819715,-49.836640,23.136017
2:01:20.415 AM 10/12/2016,1.077778,-33.242867,-35.758383,-49.724239,-48.994548,23.015084
2:01:40.421 AM 10/12/2016,1.083336,-33.509022,-35.967909,-51.092966,-50.110148,22.742765
2:02:00.435 AM 10/12/2016,1.088895,-33.699301,-36.180580,-50.775167,-49.812001,22.779436
2:02:20.433 AM 10/12/2016,1.094450,-33.852809,-36.281876,-49.687094,-49.003454,23.024805
2:02:40.433 AM 10/12/2016,1.100005,-34.113870,-36.530008,-52.353628,-50.634551,23.110358
2:03:00.433 AM 10/12/2016,1.105561,-34.282501,-36.681829,-50.433501,-49.407677,23.128340
2:03:20.431 AM 10/12/2016,1.111116,-34.464936,-36.837895,-49.884800,-49.278421,23.139159
2:03:40.417 AM 10/12/2016,1.116668,-34.673957,-37.067625,-51.712120,-50.349107,23.191161
2:04:00.433 AM 10/12/2016,1.122228,-34.832898,-37.184904,-50.093429,-49.404732,23.179878
2:04:20.433 AM 10/12/2016,1.127783,-35.068063,-37.323607,-51.033206,-50.138006,23.176464
2:04:40.434 AM 10/12/2016,1.133339,-35.246984,-37.514075,-51.089943,-50.072845,23.219418
2:05:00.434 AM 10/12/2016,1.138895,-35.380737,-37.636196,-49.922605,-49.314394,23.256038
2:05:20.433 AM 10/12/2016,1.144450,-35.629710,-37.886162,-52.207396,-50.759199,23.112625
2:05:40.433 AM 10/12/2016,1.150005,-35.778404,-38.001579,-50.642877,-49.814528,23.173034
2:06:00.431 AM 10/12/2016,1.155561,-35.934174,-38.115639,-49.827453,-49.199119,23.270921
2:06:20.433 AM 10/12/2016,1.161117,-36.126724,-38.374567,-52.207058,-50.917393,23.014678
2:06:40.433 AM 10/12/2016,1.166672,-36.263558,-38.463376,-50.598881,-49.840120,22.955395
2:07:00.434 AM 10/12/2016,1.172228,-36.440307,-38.594938,-49.871490,-49.438507,23.086981
2:07:20.422 AM 10/12/2016,1.177780,-36.642011,-38.807413,-52.124709,-50.736274,23.069907
2:07:40.433 AM 10/12/2016,1.183339,-36.818856,-38.958969,-50.388765,-49.621068,23.083370
2:08:00.435 AM 10/12/2016,1.188895,-36.967124,-39.063044,-49.843354,-49.346941,22.882451
2:08:20.432 AM 10/12/2016,1.194450,-37.215888,-39.304998,-52.235953,-50.861816,22.805250
2:08:40.416 AM 10/12/2016,1.200001,-37.363012,-39.428994,-50.469580,-49.788130,22.811904
2:09:00.434 AM 10/12/2016,1.205561,-37.505690,-39.544113,-49.873100,-49.423285,22.858807
2:09:20.435 AM 10/12/2016,1.211117,-37.724133,-39.753129,-52.216435,-50.742585,22.874485
2:09:40.421 AM 10/12/2016,1.216669,-37.828667,-39.881931,-50.520752,-49.813157,22.934564
2:10:00.433 AM 10/12/2016,1.222228,-37.975550,-39.979697,-50.913667,-50.211380,22.952614
2:10:20.433 AM 10/12/2016,1.227783,-38.137604,-40.155495,-51.562769,-50.517552,23.053857
2:10:40.433 AM 10/12/2016,1.233339,-38.247315,-40.223062,-50.360896,-49.668110,23.019220
2:11:00.433 AM 10/12/2016,1.238894,-38.353938,-40.326216,-50.715540,-50.041611,22.860270
2:11:20.421 AM 10/12/2016,1.244447,-38.531608,-40.495710,-51.547823,-50.503688,22.800929
2:11:40.428 AM 10/12/2016,1.250004,-38.627860,-40.571031,-50.360519,-49.704427,23.026579
2:12:00.416 AM 10/12/2016,1.255556,-38.790088,-40.700697,-50.670108,-49.947289,22.955676
2:12:20.434 AM 10/12/2016,1.261117,-38.941130,-40.851122,-51.479432,-50.476851,23.121875
2:12:40.434 AM 10/12/2016,1.266672,-39.030418,-40.933942,-50.276352,-49.622135,23.116563
2:13:00.432 AM 10/12/2016,1.272227,-39.179046,-41.031770,-50.601934,-49.921773,23.077149
2:13:20.432 AM 10/12/2016,1.277783,-39.336964,-41.188167,-51.709546,-50.576733,22.934986
