Thermal Cycle Test,Logger Rev-1.0,,,,,
Operator,d gaines,,,,,
Unit,OCU,,,,,
Product Number,1F67700-1,,,,,
Serial Number,34,,,,,
Date,20161018_1715,,,,,
Position,1,,,,,
Units in Chamber,*0034,,,,,
*Thermocouples are placed on this unit,,,,,,
Comments,,,,,,
,,,,,,
Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
31:13.4,1.255555,21.493948,21.875126,14.304677,15.127392,20.75687
31:33.4,1.261111,21.615679,22.05652,17.913061,18.98284,20.944192
31:53.4,1.266667,21.481625,21.915594,14.962168,15.639642,20.883386
32:13.4,1.272222,21.530514,21.974943,16.683563,17.679693,20.935455
32:33.4,1.277779,21.565044,22.004936,18.087355,19.203498,20.707823
32:53.4,1.283335,21.484236,21.90332,15.071932,15.773576,20.681149
33:13.4,1.28889,21.573387,21.930023,15.843824,16.665114,20.77014
33:33.4,1.294445,21.49932,21.860084,13.877272,14.565723,20.68549
33:53.4,1.300001,21.570168,22.008409,16.359634,17.148542,20.838982
34:13.4,1.305556,21.511449,21.906428,13.591269,14.194617,20.831171
34:33.4,1.311112,21.594455,21.953454,15.245044,16.100917,20.739776
34:53.4,1.316668,21.561199,21.94164,15.313516,16.088028,20.878911
35:13.4,1.322223,21.49681,21.898983,14.458872,15.000249,20.801108
35:33.4,1.327778,21.45284,21.82843,12.780048,13.49045,20.969512
35:53.4,1.333335,21.573519,21.980982,16.475848,17.616317,20.863101
36:13.4,1.33889,21.52268,21.925248,15.203113,16.041901,20.942025
36:33.4,1.344446,21.508395,21.885104,14.266897,15.007156,20.961397
36:53.4,1.350001,21.46865,21.810382,13.557053,14.3627,20.777439
37:13.4,1.355556,21.488844,21.925027,16.624187,17.65753,20.762299
37:33.4,1.361113,21.344046,21.769342,13.195389,13.905478,20.895534
37:53.4,1.366667,21.411691,21.776161,14.22725,15.196937,20.794103
38:13.4,1.372222,21.472064,21.921871,16.610005,17.691563,20.975231
38:33.4,1.377777,21.39391,21.806178,14.297048,15.025267,21.90996
38:53.4,1.383333,21.516273,21.887144,15.80867,16.857868,22.693863
39:13.4,1.38889,21.658346,22.102461,18.703564,19.982854,23.252049
39:33.4,1.394445,21.647982,22.04733,16.683069,17.525195,23.698915
