Thermal Cycle Test,Logger Rev-1.0
Operator,D. Gaines
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161005_2133
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
11:02:18.401 PM 10/5/2016,1.472221,21.819027,22.009930,12.828827,12.634554,21.475249
11:02:38.400 PM 10/5/2016,1.477776,21.758770,21.935190,12.898159,12.807731,21.239610
11:02:58.400 PM 10/5/2016,1.483332,21.806001,21.970995,15.859191,16.266105,21.323198
11:03:18.399 PM 10/5/2016,1.488887,21.772021,21.845211,14.735843,15.056691,21.197835
11:03:38.401 PM 10/5/2016,1.494443,21.818441,21.868218,16.601991,17.223381,21.150245
11:03:58.401 PM 10/5/2016,1.499999,21.788218,21.889418,15.763829,16.240018,21.150937
11:04:18.400 PM 10/5/2016,1.505554,21.842164,21.940678,16.984117,17.631237,21.324538
11:04:38.401 PM 10/5/2016,1.511110,21.853159,21.910944,17.312731,17.940592,21.343583
11:04:58.399 PM 10/5/2016,1.516665,21.842391,21.870818,15.586395,15.984903,21.235260
11:05:18.400 PM 10/5/2016,1.522221,21.799640,21.870203,12.770407,12.788898,21.242384
11:05:38.399 PM 10/5/2016,1.527776,21.733645,21.838661,12.797020,12.827105,21.130309
11:05:58.401 PM 10/5/2016,1.533332,21.758548,21.872932,13.332825,13.678571,21.205258
11:06:18.401 PM 10/5/2016,1.538887,21.741459,21.782365,14.308975,14.781827,21.158346
